smiles,sim,parp1,qed,sa
CC(C=CC(C)=C1C=C1)=Cc1ccccc1C,0.3695652173913043,7.9,0.6417925142059284,0.7948543950709984
CC1=CC=Cc2ccc(o2)C=C(C)c2ccccc21,0.28125,8.5,0.618633845765187,0.6065319141414395
FC(=CC=Cc1ccccc1)c1cc(F)cc(Cl)c1,0.37777777777777777,8.5,0.6491606324302045,0.8324070974431448
C=CC1=CC=CC=CC(COC(=O)CCC)=CC=CC=CC(=C2C=CC=C2)C1,0.3333333333333333,9.1,0.5205540824874906,0.6361671965592625
CC1(C)c2cccc(c2)-c2ccccc21,0.3125,7.4,0.5944699812119757,0.8179394425433496
CC1=CC=C(C=C(C=CC=C(F)c2ccccc2)C(C)C)C1,0.2549019607843137,8.9,0.5501678090501761,0.7218711295984936
CC1CC2CCc3c(cccccccc1ccc1ccccc31)C(C)C2,0.44680851063829785,10.3,0.4554957460281017,0.5904833202990358
C=C1C2=COCC=CC=CC=CC=CC=CC=C(F)C=CC1CC2,0.20833333333333334,9.4,0.5267083222795779,0.4978043441207663
Oc1cc(F)cc(C2CC2)c1,0.375,6.9,0.6547182483048869,0.8811143216080001
C1=CC(c2ccccc2)=C1,0.3076923076923077,6.6,0.5450553106264365,0.9022605507702127
CC(C)(C1=CC=C(C=CC2=CC=C2)CC(=O)C=C1)c1ccccc1,0.26785714285714285,9.3,0.7270992929513068,0.7332322022715967
O=C1C=CC=CC=CC=C2CCCCC3C=C(O)C=CC=C3C=CC=C12,0.25,10.0,0.6050456588538407,0.6065243585552464
Cc1ccccc2cc3ccccc(cccccccccccc3c1C)o2,0.3684210526315789,11.6,0.38460987052667056,0.7124179709778449
CC12CC(Cc3ccccc3Oc3ccccc3)CCC1C2,0.391304347826087,9.0,0.6867272248794386,0.7582675310090037
CC1CCOCCC=C2C=CC2=C2C1=CC=Cc1ccc2oc1=O,0.24,9.5,0.7156826730888556,0.5340988496152718
Cc1cccc(CC(C)C2=CC=C2)c1,0.46153846153846156,7.5,0.6720340011383356,0.7967845904225227
CCC(C)CC1CC(CC(C)Cc2ccccc2Cl)C1,0.3953488372093023,7.5,0.5474515955881447,0.7589582228628837
CCC(=O)Cc1c2ccc(C(C)C3=CC=C3)c1C=CC(O)=CC(C=CC1=C3C=C1C3=O)=C2,0.20512820512820512,10.0,0.5854236549201614,0.45573671477904576
Cc1cccc(F)c1C=CC=Cc1ccccccccc1,0.35714285714285715,9.5,0.6094193475234694,0.8380228114070127
CCCCC(C)CC1C(C=CCC(C)C)=Cc2ccc3cc1nc(C)c3c2,0.2692307692307692,8.5,0.46635883516371135,0.4998490860602267
CC=CC=CC=CC=CC(C)=CC(C)=Cc1ccccc1,0.4,7.0,0.5361963955553789,0.7841442131143744
O=C(C=CC=Cc1ccccc1)C=C(F)c1cc2ccc1cc2,0.36538461538461536,9.1,0.35485907039714315,0.6901837765719961
CC(C)(C)C1CCc2ccccccccccc1c(F)c2,0.3333333333333333,9.5,0.538320141019022,0.6915777369063033
CC(=O)C1=CC=CC=CC(=CC=c2c3cccc2=CC=CC=C3)C(C)CC1,0.265625,10.3,0.7444359112720826,0.515713281311131
